INTERVAL_DATETIME,REGIONID,POWER
2018-04-23,QLD1,1151.654
2018-04-23,SA1,418.65
2018-04-23,TAS1,56.029
2018-04-23,VIC1,685.457
2018-04-24,NSW1,738.624
2018-04-24,QLD1,1206.788
2018-04-24,SA1,384.112
2018-04-24,TAS1,48.056
2018-04-24,VIC1,327.284
2018-04-25,NSW1,606.053
2018-04-25,QLD1,1034.848
2018-04-25,SA1,441.838
2018-04-25,TAS1,37.789
2018-04-25,VIC1,498.183
2018-04-26,NSW1,744.341
2018-04-26,QLD1,1186.506
2018-04-26,SA1,403.043
2018-04-26,TAS1,61.172
2018-04-26,VIC1,414.904
2018-04-27,NSW1,630.667
2018-04-27,QLD1,1146.559
2018-04-27,SA1,483.197
2018-04-27,TAS1,56.493
2018-04-27,VIC1,459.757
2018-04-28,NSW1,541.621
2018-04-28,QLD1,1033.576
2018-04-28,SA1,460.037
2018-04-28,TAS1,55.471
2018-04-28,VIC1,675.513
2018-04-29,NSW1,631.063
2018-04-29,QLD1,1060.373
2018-04-29,SA1,487.212
2018-04-29,TAS1,68.477
2018-04-29,VIC1,535.497
2018-04-30,NSW1,669.836
2018-04-30,QLD1,1095.498
2018-04-30,SA1,474.093
2018-04-30,TAS1,45.329
2018-04-30,VIC1,685.359
2018-05-01,NSW1,798.82
2018-05-01,QLD1,985.432
2018-05-01,SA1,402.622
2018-05-01,TAS1,66.376
2018-05-01,VIC1,657.338
2018-05-02,NSW1,628.639
2018-05-02,QLD1,804.769
2018-05-02,SA1,447.046
2018-05-02,TAS1,35.635
2018-05-02,VIC1,373.311
2018-05-03,NSW1,793.504
2018-05-03,QLD1,939.925
2018-05-03,SA1,128.133
2018-05-03,TAS1,47.769
2018-05-03,VIC1,310.051
2018-05-04,NSW1,656.959
2018-05-04,QLD1,1088.428
2018-05-04,SA1,426.892
2018-05-04,TAS1,46.41
2018-05-04,VIC1,430.817
2018-05-05,NSW1,813.28
2018-05-05,QLD1,1061.469
2018-05-05,SA1,391.852
2018-05-05,TAS1,50.649
2018-05-05,VIC1,402.281
2018-05-06,NSW1,796.977
2018-05-06,QLD1,994.946
2018-05-06,SA1,475.642
2018-05-06,TAS1,43.117
2018-05-06,VIC1,618.772
2018-05-07,NSW1,833.311
2018-05-07,QLD1,596.757
2018-05-07,SA1,257.49
2018-05-07,TAS1,49.273
2018-05-07,VIC1,440.99
2018-05-08,NSW1,579.434
2018-05-08,QLD1,588.733
2018-05-08,SA1,309.272
2018-05-08,TAS1,66.216
2018-05-08,VIC1,565.336
2018-05-09,NSW1,765.403
2018-05-09,QLD1,1115.24
2018-05-09,SA1,238.192
2018-05-09,TAS1,26.974
2018-05-09,VIC1,379.893
2018-05-10,NSW1,721.798
2018-05-10,QLD1,1122.52
2018-05-10,SA1,359.658
2018-05-10,TAS1,25.451
2018-05-10,VIC1,348.865
2018-05-11,NSW1,745.896
2018-05-11,QLD1,1201.49
2018-05-11,SA1,331.944
2018-05-11,TAS1,16.341
2018-05-11,VIC1,120.051
2018-05-12,NSW1,453.54
2018-05-12,QLD1,1197.687
2018-05-12,SA1,435.945
2018-05-12,TAS1,37.722
2018-05-12,VIC1,487.807
2018-05-13,NSW1,587.111
2018-05-13,QLD1,1151.022
2018-05-13,SA1,453.386
2018-05-13,TAS1,48.007
2018-05-13,VIC1,426.633
2018-05-14,NSW1,719.138
2018-05-14,QLD1,1156.343
2018-05-14,SA1,398.887
2018-05-14,TAS1,64.957
2018-05-14,VIC1,569.501
2018-05-15,NSW1,800.414
2018-05-15,QLD1,1160.225
2018-05-15,SA1,258.356
2018-05-15,TAS1,62.523
2018-05-15,VIC1,238.67
2018-05-16,NSW1,676.1
2018-05-16,QLD1,1091.741
2018-05-16,SA1,412.305
2018-05-16,TAS1,37.6
2018-05-16,VIC1,357.171
2018-05-17,NSW1,752.279
2018-05-17,QLD1,937.055
2018-05-17,SA1,148.47
2018-05-17,TAS1,27.452
2018-05-17,VIC1,297.149
2018-05-18,NSW1,789.808
2018-05-18,QLD1,1039.517
2018-05-18,SA1,234.054
2018-05-18,TAS1,52.605
2018-05-18,VIC1,357.111
2018-05-19,NSW1,728.648
2018-05-19,QLD1,1036.653
2018-05-19,SA1,349.193
2018-05-19,TAS1,46.668
2018-05-19,VIC1,306.775
2018-05-20,NSW1,807.326
2018-05-20,QLD1,1048.83
2018-05-20,SA1,158.938
2018-05-20,TAS1,42.978
2018-05-20,VIC1,134.275
2018-05-21,NSW1,778.901
2018-05-21,QLD1,1095.18
2018-05-21,SA1,127.324
2018-05-21,TAS1,30.071
2018-05-21,VIC1,375.909
2018-05-22,NSW1,744.268
2018-05-22,QLD1,1140.91
2018-05-22,SA1,120.662
2018-05-22,TAS1,55.901
2018-05-22,VIC1,137.258
2018-05-23,NSW1,729.437
2018-05-23,QLD1,1142.41
2018-05-23,SA1,147.724
2018-05-23,TAS1,53.013
2018-05-23,VIC1,285.543
2018-05-24,NSW1,633.062
2018-05-24,QLD1,1061.408
2018-05-24,SA1,180.02
2018-05-24,TAS1,56.658
2018-05-24,VIC1,373.629
2018-05-25,NSW1,631.374
2018-05-25,QLD1,846.014
2018-05-25,SA1,486.933
2018-05-25,TAS1,49.09
2018-05-25,VIC1,622.959
2018-05-26,NSW1,818.675
2018-05-26,QLD1,1033.473
2018-05-26,SA1,374.235
2018-05-26,TAS1,42.417
2018-05-26,VIC1,650.226
2018-05-27,NSW1,769.411
2018-05-27,QLD1,939.99
2018-05-27,SA1,130.781
2018-05-27,TAS1,36.563
2018-05-27,VIC1,429.246
2018-05-28,NSW1,692.924
2018-05-28,QLD1,844.7
2018-05-28,SA1,419.348
2018-05-28,TAS1,40.677
2018-05-28,VIC1,347.307
2018-05-29,NSW1,731.744
2018-05-29,QLD1,906.659
2018-05-29,SA1,348.513
2018-05-29,TAS1,29.669
2018-05-29,VIC1,511.387
2018-05-30,NSW1,744.442
2018-05-30,QLD1,1148.599
2018-05-30,SA1,353.857
2018-05-30,TAS1,40.774
2018-05-30,VIC1,546.036
2018-05-31,NSW1,832.768
2018-05-31,QLD1,1227.758
2018-05-31,SA1,412.747
2018-05-31,TAS1,60.065
2018-05-31,VIC1,572.399
2018-06-01,NSW1,622.565
