I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",VIC1,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",NSW1,0,0.6,SATELLITE,"2022/02/20 04:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLD1,0,0.6,SATELLITE,"2022/02/20 04:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDC,0,0.6,SATELLITE,"2022/02/20 04:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDN,0,0.6,SATELLITE,"2022/02/20 04:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",QLDS,0,0.6,SATELLITE,"2022/02/20 04:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",SA1,0,0.6,SATELLITE,"2022/02/20 04:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",TAS1,0,0.6,SATELLITE,"2022/02/20 04:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",TASN,0,0.6,SATELLITE,"2022/02/20 04:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",TASS,0,0.6,SATELLITE,"2022/02/20 04:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:00:00",VIC1,0,0.6,SATELLITE,"2022/02/20 04:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",NSW1,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",QLD1,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",QLDC,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",QLDN,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",QLDS,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",SA1,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",TAS1,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",TASN,0,0.6,SATELLITE,"2022/02/20 04:50:23"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",TASS,0,0.6,SATELLITE,"2022/02/20 04:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 04:30:00",VIC1,0,0.6,SATELLITE,"2022/02/20 04:50:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",NSW1,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLD1,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDC,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDN,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",QLDS,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",SA1,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TAS1,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TASN,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",TASS,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:00:00",VIC1,0,0.6,SATELLITE,"2022/02/20 05:20:24"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",NSW1,1.466,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",QLD1,1.3,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",QLDC,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",QLDN,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",QLDS,1.3,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",SA1,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",TAS1,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",TASN,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",TASS,0,0.6,SATELLITE,"2022/02/20 05:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/20 05:30:00",VIC1,0,0.6,SATELLITE,"2022/02/20 05:50:25"
